wavelength,nk,flux
376.45000000, 1.08460214, 2.05484668
376.50000000, 1.05920662, 2.05667853
376.55000000, 1.07716662, 2.05851038
376.60000000, 1.12584570, 2.06034224
376.65000000, 1.15032484, 2.06217409
376.70000000, 1.14297558, 2.06400594
376.75000000, 1.11528898, 2.06583779
376.80000000, 1.07882009, 2.06766965
376.85000000, 1.06962306, 2.06950150
376.90000000, 1.09669474, 2.07133335
376.95000000, 1.13875075, 2.06467584
377.00000000, 1.17269674, 2.04836801
377.05000000, 1.18120699, 2.03206018
377.10000000, 1.16958193, 2.01575235
377.15000000, 1.15990468, 1.99944452
377.20000000, 1.17113903, 1.98313669
377.25000000, 1.20885467, 1.96682886
377.30000000, 1.25599987, 1.95052103
377.35000000, 1.29328452, 1.93421320
377.40000000, 1.32097418, 1.91790537
377.45000000, 1.33940912, 1.90159754
377.50000000, 1.34736124, 1.88528971
377.55000000, 1.35240311, 1.86898188
377.60000000, 1.35776730, 1.85267405
377.65000000, 1.36062541, 1.83636622
377.70000000, 1.36579294, 1.82005839
377.75000000, 1.38001203, 1.80375057
377.80000000, 1.39771464, 1.78744274
377.85000000, 1.40549106, 1.77113491
377.90000000, 1.40140935, 1.75482708
377.95000000, 1.39901885, 1.73851925
378.00000000, 1.40895442, 1.72294446
378.05000000, 1.43450977, 1.72699904
378.10000000, 1.46672003, 1.73105362
378.15000000, 1.48553636, 1.73510819
378.20000000, 1.48546889, 1.73916277
378.25000000, 1.47675490, 1.74321734
378.30000000, 1.46966031, 1.74727192
378.35000000, 1.46857350, 1.75132650
378.40000000, 1.46777198, 1.75538107
378.45000000, 1.46312444, 1.75943565
378.50000000, 1.46665890, 1.76349022
378.55000000, 1.47301037, 1.76754480
378.60000000, 1.44749391, 1.77159938
378.65000000, 1.38552012, 1.77565395
378.70000000, 1.31061009, 1.77970853
378.75000000, 1.25359915, 1.78376310
378.80000000, 1.23176314, 1.78781768
378.85000000, 1.21857204, 1.79187226
378.90000000, 1.19832817, 1.79592683
378.95000000, 1.18017914, 1.79998141
379.00000000, 1.16059107, 1.80403598
379.05000000, 1.13596094, 1.80809056
379.10000000, 1.11790614, 1.80835089
379.15000000, 1.12371553, 1.80619353
379.20000000, 1.15224005, 1.80403617
379.25000000, 1.17753227, 1.80187881
379.30000000, 1.18319508, 1.79972145
379.35000000, 1.16434103, 1.79756409
379.40000000, 1.12610482, 1.79540674
379.45000000, 1.09306618, 1.79324938
379.50000000, 1.07366661, 1.79109202
379.55000000, 1.05418542, 1.78893466
379.60000000, 1.03526284, 1.78677730
379.65000000, 1.03561439, 1.78461994
379.70000000, 1.05179025, 1.78246259
379.75000000, 1.05687754, 1.78030523
379.80000000, 1.03595729, 1.77814787
379.85000000, 0.99876206, 1.77599051
379.90000000, 0.97222192, 1.77383315
379.95000000, 0.96980413, 1.77167579
380.00000000, 0.98263127, 1.76951844
380.05000000, 1.01037355, 1.76736108
380.10000000, 1.06601031, 1.76520372
380.15000000, 1.13430826, 1.76630417
380.20000000, 1.17919973, 1.78104415
380.25000000, 1.19467023, 1.79578413
380.30000000, 1.20954224, 1.81052411
380.35000000, 1.24719809, 1.82526409
380.40000000, 1.29258138, 1.84000407
380.45000000, 1.32456620, 1.85474404
380.50000000, 1.33847934, 1.86948402
380.55000000, 1.33652626, 1.88422400
380.60000000, 1.32906804, 1.89896398
380.65000000, 1.32352369, 1.91370396
380.70000000, 1.30941586, 1.92844394
380.75000000, 1.27646529, 1.94318392
380.80000000, 1.24412541, 1.95792390
380.85000000, 1.23714360, 1.97266388
380.90000000, 1.26121221, 1.98740386
380.95000000, 1.29872045, 2.00214384
381.00000000, 1.32407457, 2.01688382
381.05000000, 1.33854159, 2.03162380
381.10000000, 1.34992326, 2.04636378
381.15000000, 1.35031478, 2.06110376
381.20000000, 1.33586636, 2.07584374
381.25000000, 1.31539327, 2.14083079
381.30000000, 1.29199154, 2.21984177
381.35000000, 1.24887407, 2.29885276
381.40000000, 1.18325299, 2.37786374
381.45000000, 1.12624763, 2.45687472
381.50000000, 1.09466941, 2.53588571
381.55000000, 1.07196224, 2.61489669
381.60000000, 1.03738358, 2.69390767
381.65000000, 0.99260946, 2.77291866
381.70000000, 0.96430131, 2.85192964
381.75000000, 0.97534968, 2.93094063
381.80000000, 1.01918512, 3.00995161
381.85000000, 1.05781368, 3.08896259
381.90000000, 1.06411476, 3.16797358
381.95000000, 1.04828683, 3.24698456
382.00000000, 1.01202987, 3.32599555
382.05000000, 0.94641206, 3.40500653
382.10000000, 0.87325021, 3.48401751
382.15000000, 0.82676812, 3.56302850
382.20000000, 0.82191159, 3.64203948
382.25000000, 0.85528295, 3.72105047
382.30000000, 0.90339259, 3.73674661
382.35000000, 0.93503725, 3.64816936
382.40000000, 0.94106857, 3.55959210
382.45000000, 0.91569673, 3.47101485
382.50000000, 0.85969283, 3.38243760
382.55000000, 0.80196544, 3.29386034
382.60000000, 0.76133477, 3.20528309
382.65000000, 0.73077226, 3.11670583
382.70000000, 0.70815922, 3.02812858
382.75000000, 0.70410874, 2.93955132
382.80000000, 0.71262529, 2.85097407
382.85000000, 0.71420865, 2.76239681
382.90000000, 0.71175682, 2.67381956
382.95000000, 0.71668229, 2.58524230
383.00000000, 0.72232760, 2.49666505
383.05000000, 0.72420707, 2.40808780
383.10000000, 0.73549246, 2.31951054
383.15000000, 0.75442501, 2.23093329
383.20000000, 0.75511998, 2.14235603
383.25000000, 0.73164311, 2.05377878
383.30000000, 0.69584250, 1.96520152
383.35000000, 0.66469718, 1.87662427
383.40000000, 0.65742780, 1.88075681
383.45000000, 0.66468860, 1.88668496
383.50000000, 0.66906176, 1.89261311
383.55000000, 0.67822999, 1.89854126
383.60000000, 0.70209455, 1.90446941
383.65000000, 0.73035205, 1.91039756
383.70000000, 0.75099294, 1.91632571
383.75000000, 0.76320301, 1.92225385
383.80000000, 0.76239219, 1.92818200
383.85000000, 0.74508601, 1.93411015
383.90000000, 0.72220908, 1.94003830
383.95000000, 0.71047684, 1.94596645
384.00000000, 0.72246844, 1.95189460
384.05000000, 0.74896818, 1.95782275
384.10000000, 0.76841550, 1.96375090
384.15000000, 0.77931301, 1.96967904
384.20000000, 0.80553241, 1.97560719
384.25000000, 0.86911963, 1.98153534
384.30000000, 0.94882225, 1.98746349
384.35000000, 1.00918406, 1.99339164
384.40000000, 1.04207663, 1.99931979
384.45000000, 1.05931437, 1.99436734
384.50000000, 1.08077518, 1.98188501
384.55000000, 1.10908054, 1.96940268
384.60000000, 1.12713003, 1.95692035
384.65000000, 1.12914787, 1.94443801
384.70000000, 1.12819117, 1.93195568
384.75000000, 1.13387516, 1.91947335
384.80000000, 1.14778350, 1.90699102
